model_one,model_two,model_three
2022.5102042680976,2161.508310336657,1898.2720615802004
2534.525558857018,1723.7000201436592,1367.4862259925771
2231.1032842269797,1750.3891850609314,1403.9606353688023
2744.547402936872,1652.2854798916405,1535.0045591099233
5149.223221704997,2354.3224703814903,2265.722523218479
4134.972115352918,1598.3188689797914,1613.7669380913771
2220.1813146575405,1990.6357158437088,1688.0737356453772
2091.026593916281,1653.7301278701514,1415.3063824229268
2220.3154357180642,1608.0373305958954,1413.296524681208
2314.907906539265,1595.9118242944182,1450.4323996692083
